Date,Close/Last,Volume,Open,High,Low
05/24/2024,$106.47,429493700,$104.45,$106.48,$103.00
05/23/2024,$103.80,835065300,$102.03,$106.32,$101.52
05/22/2024,$94.95,548648000,$95.46,$96.02,$93.25
05/21/2024,$95.39,328946500,$93.60,$95.40,$93.18
05/20/2024,$94.78,318764500,$93.75,$95.20,$93.44
05/17/2024,$92.48,359691000,$94.37,$94.74,$91.81
05/16/2024,$94.36,323951800,$94.91,$95.82,$94.10
05/15/2024,$94.63,417735500,$92.47,$94.86,$91.60
05/14/2024,$91.36,296507100,$89.60,$91.65,$88.93
05/13/2024,$90.40,289680200,$90.48,$91.00,$88.53
05/10/2024,$89.88,335325400,$90.30,$91.40,$89.23
05/09/2024,$88.75,378012700,$90.53,$91.07,$88.23
05/08/2024,$90.41,325721000,$89.48,$91.19,$89.42
05/07/2024,$90.55,437341600,$91.10,$91.78,$89.01
05/06/2024,$92.14,376202600,$89.39,$92.22,$89.06
05/03/2024,$88.79,398340700,$87.79,$89.28,$87.04
05/02/2024,$85.82,377897500,$84.45,$86.24,$83.20
05/01/2024,$83.04,559863200,$85.08,$86.00,$81.25
04/30/2024,$86.40,363708700,$87.24,$88.82,$86.30
